Complaint_Narrative,Product,Sector,Priority_Level,Urgency_Score
"✅ Trip Verified |  Ground support - good Lounge - good Boarding - bit messy (mainly because some people do not follow boarding instructions Welcome - friendly Seats - 2-2 , no flat bed, limited recline, less leg space (well, I am 183 cm), no in-seat entertainment Service - good ( excellent work) Recommend - not really",AirIndia,Aviation,Low,3.0
My iPhone's Face ID stopped working after an iOS update. Apple support wants me to pay for repair. Is this fair? Pathetic after-sales.,Apple iPhone Software,Tech & Telecommunications,High,8.0
"ACT Fibernet's customer service is non-existent. My internet has been down for 2 days, and no one is responding. Bakwas service!",ACT Fibernet,Tech & Telecommunications,High,9.0
"✅ Trip Verified |  I have not flown on this flight yet. It's a future reservation that I have with them, and need to cancel because my onward/return journey between Mumbai and Seychelles that was part of the overall travel itinerary was cancelled due to Covid restrictions in Seychelles for passengers from India. So I need to cancel these IndiGo flights, as I have no need to travel to Mumbai and back now. When I call the customer service line to cancel, I get the following: They mention flight fees and changes on their website but fail to mention that they charge these per passenger per flight/sector when you need make changes or cancellations to your reservation. For a $180 round trip flight booked for my wife and I from Tirupati to Mumbai and back, they were saying I will get a refund of $28 even though I'm canceling almost 2 months in advance. Based on their USD cancellation fee of $45 that should be charged for cancellations made 4+ days before departure, I should receive a $135 refund. Or if they were strictly following this fee applied per person per flight, then that would be $45 per person per way, i.e. $45x4=$180 so I should not receive any refund. But they make an arbitrary calculation that I get $28 refund. They pretend to be a low-cost carrier that's friendly to the middle class in India, but actually charge obscene cancellation/change fees.",IndiGo,Aviation,High,8.5
"They are not giving good service, it is so hard to connect with an agent,orders are getting cancelled when I ordered late night.these guys are not maintaining restaurant number,they are updating invalid numbers.",Zomato Food Delivery,Food & Beverage,Medium,7.0
"✅ Trip Verified |  Worst airline. This is the 2nd time we have experienced, that Go-First cancels the flight at last moment, leaving the passengers with no choice but to book other airline at higher price at last moment. Will not book Go-First again.",Go First,Aviation,High,9.0
"My loan EMI bounced due to technical glitch from bank's side, and now I'm being charged bounce fees. This is unfair!",IndusInd Bank Personal Loan,Banking,High,8.5
there is so much delay in delivery our order that the ordered item gets cold and bland. I don't like the service...Lately zomato has been so disappointing.,Zomato Food Delivery,Food & Beverage,Medium,6.0
most useless and fraud app. they don't even have customer support staff who can resolve your problem. just a bot replying with the same lines again and again.,Zomato Food Delivery,Food & Beverage,Medium,5.0
"✅ Trip Verified |  We booked our flights for 21st sep 2021 from BBI>DEL,& on 28th sep 2021 from DEL>BBI (direct flights ,no stop-over) in advance on 13th August 2021 so that we did not suffer by anything. Today we received a notification that our direct flight is going to be connecting now from BBI>PNQ>DEL (with almost 7 hour of halt in PNQ). Now my elderly parents have to wait in Pune airport for 7 hrs which making me furious. You are not able to give me earlier or later (+- 2,day flexibility) flight because you do not have any direct flight so its none of my problem. I purchase for some service and I deserve the same.",AirAsia India,Aviation,High,8.0
"✅ Trip Verified |  Rock hard seats (even in business), infotainment system worked thankfully, but the movies collection was very limited and from pre 2000 era. The interface was dated and buggy. Food quantity was limited with very poor presentation. I had an onward journey of 2 hours with Vistara on a domestic business, and that food quality/presentation was far better than this 14 hr Air India flight. Typical other issues as expected/noted with this flight. Seats were dirty, and you could see adhesive in various places. My seat stopped reclining mid-way and got stuck in a lie-flat position; I was then moved to another seat, which did not recline at all, and I was forced to be in a sitting position for the remainder journey. The washroom sink was choked towards the latter half of the flight. Feedback/complaint registered on Air India website, but as expected, there is no response (been over 15 days). The only positive of the airline was the cabin crew, who were courteous and polite. Flying economy of AC or one of the ME3 is a better choice than flying business with Air India!",AirIndia,Aviation,High,7.5
"Zomato’s delivery service has become ridiculous. Orders are delayed again and again, and unless I waste my time following up, the food just shows up whenever — usually late. And when I finally ask to cancel after waiting an hour, they pressure me to accept cold, soggy food like it’s my problem. The service quality has dropped drastically, and customers are the ones paying for their incompetence.",Zomato Food Delivery,Food & Beverage,Medium,6.5
Fraud Scam App. I ordered Rs 300 and food was just Rs 70. Be Alert Go offline and take food rather than Scam from Zomato,Zomato Food Delivery,Food & Beverage,High,8.0
high rate,Zomato Food Delivery,Food & Beverage,Low,3.0
International transaction bina OTP ke ho gaya! Meri security ka kya? Bank pura lax hai security mein!,Federal Bank Debit Card,Banking,High,9.5
"✅ Trip Verified |  Patna to Chennai. I had upgraded to Spicemax considering facility of extra leg space and on-board meals. But to my surprise, so call leg-space is a big disappointment as the space is very little and uncomfortable. I was very rudely denied the entitled meals onboard by cabin crew member. His behaviour made us feel humiliated onboard. Raised a complaint to the customer relations, but it is useless as they have not yet investigated the issue.",SpiceJet,Aviation,Medium,7.0
“Zero customer support … very bad customer care … difficult to get refund.” “Complete waste of time connecting with customer care,Zomato Food Delivery,Food & Beverage,Medium,6.0
